2026-07-06 15:04:32.661 +05:00 [INF] Starting Portfolio API
2026-07-06 15:11:02.807 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 17:32:42.042 +05:00 [INF] HTTP GET /api/testimonials/paged responded 200 in 45.1273 ms
2026-07-06 17:32:42.493 +05:00 [INF] HTTP OPTIONS /api/references/paged responded 204 in 0.1027 ms
2026-07-06 17:32:42.533 +05:00 [INF] HTTP GET /api/references/paged responded 200 in 33.2570 ms
2026-07-06 17:32:43.092 +05:00 [INF] HTTP OPTIONS /api/blog/paged responded 204 in 0.0780 ms
2026-07-06 17:32:43.155 +05:00 [INF] HTTP GET /api/blog/paged responded 200 in 50.5813 ms
2026-07-06 17:32:43.439 +05:00 [INF] HTTP OPTIONS /api/paragraphs/paged responded 204 in 0.1123 ms
2026-07-06 17:32:43.478 +05:00 [INF] HTTP GET /api/paragraphs/paged responded 200 in 31.2544 ms
2026-07-06 17:32:47.131 +05:00 [INF] HTTP OPTIONS /api/experience/paged responded 204 in 0.0658 ms
2026-07-06 17:32:47.173 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 35.3435 ms
2026-07-06 17:33:21.954 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 189.2324 ms
2026-07-06 17:33:22.068 +05:00 [INF] HTTP GET /api/projects/paged responded 200 in 3.5538 ms
2026-07-06 17:33:22.070 +05:00 [INF] HTTP GET /api/skills/paged responded 200 in 4.3566 ms
2026-07-06 17:33:22.071 +05:00 [INF] HTTP GET /api/certifications/paged responded 200 in 4.1111 ms
2026-07-06 17:33:22.073 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 11.5336 ms
2026-07-06 17:33:22.389 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1051 ms
2026-07-06 17:33:22.475 +05:00 [INF] HTTP GET /api/certifications/paged responded 401 in 1.5593 ms
2026-07-06 17:33:22.475 +05:00 [INF] HTTP GET /api/projects/paged responded 401 in 2.7474 ms
2026-07-06 17:33:22.475 +05:00 [INF] HTTP GET /api/experience/paged responded 401 in 3.6455 ms
2026-07-06 17:33:22.475 +05:00 [INF] HTTP GET /api/skills/paged responded 401 in 2.7975 ms
2026-07-06 17:33:29.996 +05:00 [INF] HTTP GET /api/certifications/paged responded 401 in 0.2105 ms
2026-07-06 20:41:32.324 +05:00 [INF] Starting Portfolio API
2026-07-06 20:43:15.044 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 20:43:15.311 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 272.7274 ms
2026-07-06 20:43:16.436 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 1043.2910 ms
2026-07-06 21:16:36.890 +05:00 [INF] Starting Portfolio API
2026-07-06 21:16:49.766 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 21:16:49.985 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 222.9974 ms
2026-07-06 21:16:51.115 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 1018.3989 ms
2026-07-06 21:16:51.277 +05:00 [INF] HTTP GET /api/companies/lookup responded 200 in 85.5774 ms
2026-07-06 21:16:51.420 +05:00 [INF] HTTP GET /api/companies/paged responded 200 in 36.8053 ms
2026-07-06 21:16:51.499 +05:00 [INF] HTTP GET /api/deploy-details/lookup responded 200 in 14.8891 ms
2026-07-06 21:16:51.624 +05:00 [INF] HTTP POST /api/companies responded 201 in 65.9796 ms
2026-07-06 21:18:48.438 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 352.2798 ms
2026-07-06 21:18:48.623 +05:00 [ERR] HTTP POST /api/experience responded 500 in 54.3277 ms
2026-07-06 21:18:48.758 +05:00 [INF] HTTP GET /api/companies/3 responded 200 in 30.2959 ms
2026-07-06 21:18:48.873 +05:00 [INF] HTTP PUT /api/companies/3 responded 201 in 30.6249 ms
2026-07-06 21:18:48.957 +05:00 [INF] HTTP DELETE /api/companies/1 responded 422 in 19.5700 ms
2026-07-06 21:18:49.012 +05:00 [INF] HTTP DELETE /api/companies/3 responded 204 in 2.8627 ms
2026-07-06 21:24:12.759 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 395.2134 ms
2026-07-06 21:24:12.839 +05:00 [ERR] HTTP POST /api/awards responded 500 in 11.9695 ms
2026-07-06 21:24:12.898 +05:00 [ERR] HTTP POST /api/experience responded 500 in 2.4086 ms
2026-07-06 21:29:24.077 +05:00 [INF] Starting Portfolio API
2026-07-06 21:29:24.539 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 21:29:24.906 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 372.2346 ms
2026-07-06 21:29:26.456 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 1248.7917 ms
2026-07-06 21:29:26.753 +05:00 [ERR] HTTP POST /api/experience responded 500 in 163.5733 ms
2026-07-06 21:31:29.868 +05:00 [INF] Starting Portfolio API
2026-07-06 21:31:41.398 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 21:31:41.590 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 194.8375 ms
2026-07-06 21:31:42.929 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 1217.1028 ms
2026-07-06 21:31:43.247 +05:00 [INF] HTTP POST /api/experience responded 201 in 212.3601 ms
2026-07-06 21:31:43.663 +05:00 [INF] HTTP GET /api/experience/2 responded 200 in 108.2611 ms
2026-07-06 21:31:44.824 +05:00 [INF] HTTP POST /api/awards responded 201 in 1087.2701 ms
